"Sample.ID","Replicate.Number","Sample.Volume","Sample.Collection.Method","Filter.Preservation.Method","Sample.Notes","Filter.Type","Filter.Pore.Size","Survey.Date.and.Time","Site.Name","Crew","Blank.Included","Site.Notes","County","State","Year","Habitat","Size","Site.Character","Project.Name","Waterbody.Name","Sample.Depth","Sub.Site.Locations","flow.CMS","Air.Temperature","Water.Temperature","Dissolved.Oxygen","Specific.Conductance","pH","X.Coordinate","Y.Coordinate","Extraction.Status","Location.Storage.Method","DNA.Volume.ul.remaining","RNA.Volume.ul.remaining"
"Klamath26_20230717_1",1,400,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 21:23","Klamath26","JO, DK","no","Moved site to Klamath camp for future shore access if necessary","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",21.12794265,32.55555556,23.9,9.28,141,NA,-122.0892316,42.05584878,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath26_20230717_2",2,390,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 21:23","Klamath26","JO, DK","no","Moved site to Klamath camp for future shore access if necessary","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",21.12794265,32.55555556,23.9,9.28,141,NA,-122.0892316,42.05584878,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath26_20230717_3",3,370,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 21:23","Klamath26","JO, DK","no","Moved site to Klamath camp for future shore access if necessary","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",21.12794265,32.55555556,23.9,9.28,141,NA,-122.0892316,42.05584878,"RNA extraction","Genidaqs freezer (-20 degrees C)",NA,100
"Klamath26_20230717_4",4,400,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 21:23","Klamath26","JO, DK","no","Moved site to Klamath camp for future shore access if necessary","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",21.12794265,32.55555556,23.9,9.28,141,NA,-122.0892316,42.05584878,"DNA extraction","Genidaqs freezer (-20 degrees C)",66,NA
"Klamath26_20230717_5",5,380,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 21:23","Klamath26","JO, DK","no","Moved site to Klamath camp for future shore access if necessary","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",21.12794265,32.55555556,23.9,9.28,141,NA,-122.0892316,42.05584878,"DNA extraction","Genidaqs freezer (-20 degrees C)",66,NA
"Klamath26_20230717_6",6,390,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 21:23","Klamath26","JO, DK","no","Moved site to Klamath camp for future shore access if necessary","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",21.12794265,32.55555556,23.9,9.28,141,NA,-122.0892316,42.05584878,"DNA extraction","Genidaqs freezer (-20 degrees C)",66,NA
"Klamath26_20230717_7",7,440,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 21:23","Klamath26","JO, DK","no","Moved site to Klamath camp for future shore access if necessary","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",21.12794265,32.55555556,23.9,9.28,141,NA,-122.0892316,42.05584878,"RNA extraction","Genidaqs freezer (-20 degrees C)",NA,100
"Klamath26_20230717_8",8,410,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 21:23","Klamath26","JO, DK","no","Moved site to Klamath camp for future shore access if necessary","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",21.12794265,32.55555556,23.9,9.28,141,NA,-122.0892316,42.05584878,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath26_20230717_9",9,440,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 21:23","Klamath26","JO, DK","no","Moved site to Klamath camp for future shore access if necessary","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",21.12794265,32.55555556,23.9,9.28,141,NA,-122.0892316,42.05584878,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath30_20230717_1",1,675,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 22:27","Klamath30","DK, JO","no","Relocated for ease of access","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","R,C",26.57533548,NA,17,8.97,131.3,NA,-122.0695654,42.09345963,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath30_20230717_2",2,650,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 22:27","Klamath30","DK, JO","no","Relocated for ease of access","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","R,C",26.57533548,NA,17,8.97,131.3,NA,-122.0695654,42.09345963,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath30_20230717_3",3,700,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 22:27","Klamath30","DK, JO","no","Relocated for ease of access","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","R,C",26.57533548,NA,17,8.97,131.3,NA,-122.0695654,42.09345963,"RNA extraction","Genidaqs freezer (-20 degrees C)",NA,100
"Klamath30_20230717_4",4,850,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 22:27","Klamath30","DK, JO","no","Relocated for ease of access","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","R,C",26.57533548,NA,17,8.97,131.3,NA,-122.0695654,42.09345963,"DNA extraction","Genidaqs freezer (-20 degrees C)",66,NA
"Klamath30_20230717_5",5,955,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 22:27","Klamath30","DK, JO","no","Relocated for ease of access","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","R,C",26.57533548,NA,17,8.97,131.3,NA,-122.0695654,42.09345963,"DNA extraction","Genidaqs freezer (-20 degrees C)",66,NA
"Klamath30_20230717_6",6,900,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 22:27","Klamath30","DK, JO","no","Relocated for ease of access","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","R,C",26.57533548,NA,17,8.97,131.3,NA,-122.0695654,42.09345963,"DNA extraction","Genidaqs freezer (-20 degrees C)",66,NA
"Klamath30_20230717_7",7,800,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 22:27","Klamath30","DK, JO","no","Relocated for ease of access","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","R,C",26.57533548,NA,17,8.97,131.3,NA,-122.0695654,42.09345963,"RNA extraction","Genidaqs freezer (-20 degrees C)",NA,100
"Klamath30_20230717_8",8,925,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 22:27","Klamath30","DK, JO","no","Relocated for ease of access","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","R,C",26.57533548,NA,17,8.97,131.3,NA,-122.0695654,42.09345963,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath30_20230717_9",9,750,"pooled water sample","RNAprotect Tissue Reagent","
","Sterivex","0.45 micron","7/17/2023 22:27","Klamath30","DK, JO","no","Relocated for ease of access","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","R,C",26.57533548,NA,17,8.97,131.3,NA,-122.0695654,42.09345963,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath32_20230717_1",1,400,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 23:56","Klamath32","DK, JO","no","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R",18.51920022,31.44444444,24.3,7.29,130.2,NA,-122.0492403,42.12146048,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath32_20230717_2",2,400,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 23:56","Klamath32","DK, JO","no","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R",18.51920022,31.44444444,24.3,7.29,130.2,NA,-122.0492403,42.12146048,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath32_20230717_3",3,400,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 23:56","Klamath32","DK, JO","no","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R",18.51920022,31.44444444,24.3,7.29,130.2,NA,-122.0492403,42.12146048,"RNA extraction","Genidaqs freezer (-20 degrees C)",NA,100
"Klamath32_20230717_4",4,250,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 23:56","Klamath32","DK, JO","no","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R",18.51920022,31.44444444,24.3,7.29,130.2,NA,-122.0492403,42.12146048,"DNA extraction","Genidaqs freezer (-20 degrees C)",66,NA
"Klamath32_20230717_5",5,250,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 23:56","Klamath32","DK, JO","no","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R",18.51920022,31.44444444,24.3,7.29,130.2,NA,-122.0492403,42.12146048,"DNA extraction","Genidaqs freezer (-20 degrees C)",66,NA
"Klamath32_20230717_6",6,360,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 23:56","Klamath32","DK, JO","no","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R",18.51920022,31.44444444,24.3,7.29,130.2,NA,-122.0492403,42.12146048,"DNA extraction","Genidaqs freezer (-20 degrees C)",66,NA
"Klamath32_20230717_7",7,350,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 23:56","Klamath32","DK, JO","no","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R",18.51920022,31.44444444,24.3,7.29,130.2,NA,-122.0492403,42.12146048,"RNA extraction","Genidaqs freezer (-20 degrees C)",NA,100
"Klamath32_20230717_8",8,260,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 23:56","Klamath32","DK, JO","no","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R",18.51920022,31.44444444,24.3,7.29,130.2,NA,-122.0492403,42.12146048,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath32_20230717_9",9,250,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/17/2023 23:56","Klamath32","DK, JO","no","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R",18.51920022,31.44444444,24.3,7.29,130.2,NA,-122.0492403,42.12146048,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath24_20230717_1",1,350,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/18/2023 1:33","Klamath24","DK, JO","no","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","C,R",21.12794265,29.16666667,23.8,7.92,111.8,NA,-122.1037671,42.02528283,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath24_20230717_2",2,500,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/18/2023 1:33","Klamath24","DK, JO","no","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","C,R",21.12794265,29.16666667,23.8,7.92,111.8,NA,-122.1037671,42.02528283,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath24_20230717_3",3,350,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/18/2023 1:33","Klamath24","DK, JO","no","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","C,R",21.12794265,29.16666667,23.8,7.92,111.8,NA,-122.1037671,42.02528283,"RNA extraction","Genidaqs freezer (-20 degrees C)",NA,100
"Klamath24_20230717_4",4,400,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/18/2023 1:33","Klamath24","DK, JO","no","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","C,R",21.12794265,29.16666667,23.8,7.92,111.8,NA,-122.1037671,42.02528283,"DNA extraction","Genidaqs freezer (-20 degrees C)",66,NA
"Klamath24_20230717_5",5,400,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/18/2023 1:33","Klamath24","DK, JO","no","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","C,R",21.12794265,29.16666667,23.8,7.92,111.8,NA,-122.1037671,42.02528283,"DNA extraction","Genidaqs freezer (-20 degrees C)",66,NA
"Klamath24_20230717_6",6,400,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/18/2023 1:33","Klamath24","DK, JO","no","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","C,R",21.12794265,29.16666667,23.8,7.92,111.8,NA,-122.1037671,42.02528283,"DNA extraction","Genidaqs freezer (-20 degrees C)",66,NA
"Klamath24_20230717_7",7,400,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/18/2023 1:33","Klamath24","DK, JO","no","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","C,R",21.12794265,29.16666667,23.8,7.92,111.8,NA,-122.1037671,42.02528283,"RNA extraction","Genidaqs freezer (-20 degrees C)",NA,100
"Klamath24_20230717_8",8,400,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/18/2023 1:33","Klamath24","DK, JO","no","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","C,R",21.12794265,29.16666667,23.8,7.92,111.8,NA,-122.1037671,42.02528283,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath24_20230717_9",9,300,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/18/2023 1:33","Klamath24","DK, JO","no","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","C,R",21.12794265,29.16666667,23.8,7.92,111.8,NA,-122.1037671,42.02528283,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath22_20230718_1",1,1000,"Deionized water","RNAprotect Tissue Reagent","Blank","Sterivex","0.45 micron","7/18/2023 21:44","Klamath22","DK, JO, JL","yes","Site moved US of Ol Bushwacker rapid. ","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",22.9947679,32.88888889,23.5,8.01,130.9,7,-122.1417106,42.01516707,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath22_20230718_2",2,400,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/18/2023 21:44","Klamath22","DK, JO, JL","yes","Site moved US of Ol Bushwacker rapid. ","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",22.9947679,32.88888889,23.5,8.01,130.9,7,-122.1417106,42.01516707,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath22_20230718_3",3,350,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/18/2023 21:44","Klamath22","DK, JO, JL","yes","Site moved US of Ol Bushwacker rapid. ","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",22.9947679,32.88888889,23.5,8.01,130.9,7,-122.1417106,42.01516707,"RNA extraction","Genidaqs freezer (-20 degrees C)",NA,100
"Klamath22_20230718_4",4,400,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/18/2023 21:44","Klamath22","DK, JO, JL","yes","Site moved US of Ol Bushwacker rapid. ","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",22.9947679,32.88888889,23.5,8.01,130.9,7,-122.1417106,42.01516707,"DNA extraction","Genidaqs freezer (-20 degrees C)",66,NA
"Klamath22_20230718_5",5,400,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/18/2023 21:44","Klamath22","DK, JO, JL","yes","Site moved US of Ol Bushwacker rapid. ","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",22.9947679,32.88888889,23.5,8.01,130.9,7,-122.1417106,42.01516707,"DNA extraction","Genidaqs freezer (-20 degrees C)",66,NA
"Klamath22_20230718_6",6,400,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/18/2023 21:44","Klamath22","DK, JO, JL","yes","Site moved US of Ol Bushwacker rapid. ","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",22.9947679,32.88888889,23.5,8.01,130.9,7,-122.1417106,42.01516707,"DNA extraction","Genidaqs freezer (-20 degrees C)",66,NA
"Klamath22_20230718_7",7,400,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/18/2023 21:44","Klamath22","DK, JO, JL","yes","Site moved US of Ol Bushwacker rapid. ","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",22.9947679,32.88888889,23.5,8.01,130.9,7,-122.1417106,42.01516707,"RNA extraction","Genidaqs freezer (-20 degrees C)",NA,100
"Klamath22_20230718_8",8,400,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/18/2023 21:44","Klamath22","DK, JO, JL","yes","Site moved US of Ol Bushwacker rapid. ","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",22.9947679,32.88888889,23.5,8.01,130.9,7,-122.1417106,42.01516707,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath22_20230718_9",9,400,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/18/2023 21:44","Klamath22","DK, JO, JL","yes","Site moved US of Ol Bushwacker rapid. ","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",22.9947679,32.88888889,23.5,8.01,130.9,7,-122.1417106,42.01516707,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath22_20230718_10",10,400,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/18/2023 21:44","Klamath22","DK, JO, JL","yes","Site moved US of Ol Bushwacker rapid. ","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",22.9947679,32.88888889,23.5,8.01,130.9,7,-122.1417106,42.01516707,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath20_20230718_1",1,300,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/18/2023 22:56","Klamath20","DK, JO, JL","no","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",23.01052383,33.94444444,23.4,8.31,131.4,7,-122.1757219,42.00880108,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath20_20230718_2",2,375,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/18/2023 22:56","Klamath20","DK, JO, JL","no","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",23.01052383,33.94444444,23.4,8.31,131.4,7,-122.1757219,42.00880108,"Not extracted","Genidaqs freezer (-20 degrees C)",NA,NA
"Klamath20_20230718_3",3,375,"pooled water sample","RNAprotect Tissue Reagent","","Sterivex","0.45 micron","7/18/2023 22:56","Klamath20","DK, JO, JL","no","","Klamath","OR",2023,"Stream","Mainstem","Dam removal, anadromous","PRJ107489_Lower Klamath Project ","Klamath River","Surface","L,R,C",23.01052383,33.94444444,23.4,8.31,131.4,7,-122.1757219,42.00880108,"RNA extraction","Genidaqs freezer (-20 degrees C)",NA,100
